original_file,new_location,type,joinable_guess,ocr_quality_guess,text_characters_extracted
WORK-SPOUSE-Geoff-Barbanell-Arland-DiGirolamo-9_19_11.pdf,./sorted_output/Selectable/Not_Joinable/WORK-SPOUSE-Geoff-Barbanell-Arland-DiGirolamo-9_19_11.pdf,Selectable,No,,5154
Being-the-Ricardos-Aaron-Sorkin-Film.pdf,./sorted_output/Selectable/Not_Joinable/Being-the-Ricardos-Aaron-Sorkin-Film.pdf,Selectable,No,,4100
Meet-The-New-Boss-Brian-Gatewood-Alessandro-Tanaka-02-17-11.pdf,./sorted_output/Selectable/Not_Joinable/Meet-The-New-Boss-Brian-Gatewood-Alessandro-Tanaka-02-17-11.pdf,Selectable,No,,3759
Fear_City.pdf,./sorted_output/Selectable/Not_Joinable/Fear_City.pdf,Selectable,No,,4082
Buried-Chris-Sparling-Film.pdf,./sorted_output/OCR/Obscured_OCR/Buried-Chris-Sparling-Film.pdf,OCR,Unknown,Obscured_OCR,0
Moscow-Rules.pdf,./sorted_output/Selectable/Not_Joinable/Moscow-Rules.pdf,Selectable,No,,5421
False-Truth-Thomas-Berry-Isaac-Gabaeff-Nathan-Gabaeff-Film-9-1-2021.pdf,./sorted_output/Selectable/Joinable/False-Truth-Thomas-Berry-Isaac-Gabaeff-Nathan-Gabaeff-Film-9-1-2021.pdf,Selectable,Yes,,3178
BUILDING-A-BETTER-BOY_Jason-Mayland.pdf,./sorted_output/Selectable/Not_Joinable/BUILDING-A-BETTER-BOY_Jason-Mayland.pdf,Selectable,No,,4955
Election-Alexander-Payne-Jim-Taylor-Film-7-22-1997.pdf,./sorted_output/Selectable/Joinable/Election-Alexander-Payne-Jim-Taylor-Film-7-22-1997.pdf,Selectable,Yes,,6858
ARCHIMEDES-Meredith-Berg.pdf,./sorted_output/Selectable/Not_Joinable/ARCHIMEDES-Meredith-Berg.pdf,Selectable,No,,4709
Shania!-Jessica-Welsh-Film.pdf,./sorted_output/Selectable/Not_Joinable/Shania-Jessica-Welsh-Film.pdf,Selectable,No,,5267
Idol-Tricia-Lee-Film.pdf,./sorted_output/Selectable/Not_Joinable/Idol-Tricia-Lee-Film.pdf,Selectable,No,,4941
Buccaneer-Jessica-Ellis.pdf,./sorted_output/Selectable/Not_Joinable/Buccaneer-Jessica-Ellis.pdf,Selectable,No,,4152
In-The-End-Brian-T-Arnold-Film.pdf,./sorted_output/Selectable/Not_Joinable/In-The-End-Brian-T-Arnold-Film.pdf,Selectable,No,,4165
Symphony-of-Survival-Daniel-Persitz-Film.pdf,./sorted_output/Selectable/Not_Joinable/Symphony-of-Survival-Daniel-Persitz-Film.pdf,Selectable,No,,4881
Kristy-Anthony-Jaswinski-Film-4-14-2009.pdf,./sorted_output/Selectable/Joinable/Kristy-Anthony-Jaswinski-Film-4-14-2009.pdf,Selectable,Yes,,4194
Whittier-Filipe-Coutinho-Ben-Mehlman-Film-12-1-2020.pdf,./sorted_output/Selectable/Joinable/Whittier-Filipe-Coutinho-Ben-Mehlman-Film-12-1-2020.pdf,Selectable,Yes,,2872
52-Percent-Zina-Zaflow.pdf,./sorted_output/Selectable/Not_Joinable/52-Percent-Zina-Zaflow.pdf,Selectable,No,,5161
10-31-Ian-Shorr-Peter-Gamble-Film.pdf,./sorted_output/Selectable/Not_Joinable/10-31-Ian-Shorr-Peter-Gamble-Film.pdf,Selectable,No,,3356
Iceman-Book-One-2023.pdf,./sorted_output/Selectable/Joinable/Iceman-Book-One-2023.pdf,Selectable,Yes,,3669
The-Humans-Stephen-Karam-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Humans-Stephen-Karam-Film.pdf,Selectable,No,,4808
Worst.-Dinner.-Ever.-Jack-Waz-Film.pdf,./sorted_output/Selectable/Not_Joinable/Worst.-Dinner.-Ever.-Jack-Waz-Film.pdf,Selectable,No,,3301
tick-tick...-BOOM!-Steven-Levenson-Film.pdf,./sorted_output/Selectable/Not_Joinable/tick-tick...-BOOM-Steven-Levenson-Film.pdf,Selectable,No,,5181
dumpy-colahan-draves.pdf,./sorted_output/Selectable/Not_Joinable/dumpy-colahan-draves.pdf,Selectable,No,,5260
The-Last-Witch-Hunter-Cory-Goodman-Film-11-18-2010.pdf,./sorted_output/Selectable/Joinable/The-Last-Witch-Hunter-Cory-Goodman-Film-11-18-2010.pdf,Selectable,Yes,,5670
I_M-STALKING-YOU-byJessicaWood070614.pdf,./sorted_output/Selectable/Not_Joinable/I_M-STALKING-YOU-byJessicaWood070614.pdf,Selectable,No,,5615
PAROLED-by-Joe-Nienalt-092211.pdf,./sorted_output/Selectable/Not_Joinable/PAROLED-by-Joe-Nienalt-092211.pdf,Selectable,No,,5914
GOOD-SAMARITAN-JARROW.pdf,./sorted_output/Selectable/Not_Joinable/GOOD-SAMARITAN-JARROW.pdf,Selectable,No,,3453
King-Richard-Zach-Baylin-Film.pdf,./sorted_output/Selectable/Not_Joinable/King-Richard-Zach-Baylin-Film.pdf,Selectable,No,,5463
